Mood,Weather,Temperature,Humidity,WindSpeed,Workout
Sad,Foggy,20.8,51,4.5,Yoga
Sad,Cloudy,22.7,36,12.3,Meditation
Relaxed,Windy,8.4,57,8.4,Dance
Tired,Windy,14.9,52,6.7,Meditation
Energetic,Cloudy,7.4,23,5.2,HIIT
Energetic,Cloudy,21.9,85,5.2,Dance
Sad,Rainy,16.6,77,4.7,Meditation
Stressed,Windy,30.2,36,13.7,Meditation
Happy,Cloudy,14.0,24,12.5,Indoor Cardio
Tired,Cloudy,33.7,23,3.9,Indoor Cardio
Energetic,Windy,27.0,54,4.6,HIIT
Stressed,Cloudy,27.2,23,12.3,Yoga
Happy,Sunny,26.8,59,5.6,Yoga
Happy,Windy,30.3,79,11.9,Indoor Cardio
Relaxed,Rainy,19.8,87,1.3,Dance
Energetic,Snowy,11.9,75,9.6,HIIT
Sad,Cloudy,32.2,46,6.7,Meditation
Energetic,Foggy,16.9,39,7.7,Dance
Happy,Foggy,5.9,74,8.0,Yoga
Energetic,Sunny,19.2,35,10.5,HIIT
Tired,Windy,15.2,77,12.1,Indoor Cardio
Stressed,Foggy,31.4,82,6.7,Meditation
Stressed,Snowy,13.0,22,14.5,Yoga
Stressed,Rainy,12.4,87,10.7,Meditation
Relaxed,Cloudy,7.8,34,2.1,Yoga
Sad,Windy,17.1,42,1.3,Meditation
Happy,Foggy,14.6,44,2.0,Indoor Cardio
Energetic,Foggy,24.4,45,14.2,HIIT
Happy,Rainy,23.7,34,11.8,Meditation
Energetic,Windy,24.5,76,10.8,HIIT
Tired,Cloudy,21.8,34,12.0,Indoor Cardio
Happy,Foggy,20.8,31,9.9,Dance
Sad,Rainy,5.5,20,12.8,Meditation
Energetic,Rainy,28.4,88,14.8,HIIT
Sad,Windy,25.3,28,6.3,Yoga
Stressed,Cloudy,14.9,40,6.5,Yoga
Stressed,Sunny,23.3,83,2.3,Meditation
Stressed,Snowy,9.9,89,9.8,Meditation
Relaxed,Sunny,20.5,22,7.9,Yoga
Happy,Rainy,7.4,70,9.9,Indoor Cardio
Sad,Snowy,34.1,25,1.3,Meditation
Sad,Snowy,21.4,69,3.7,Yoga
Energetic,Rainy,5.1,61,11.7,Dance
Happy,Snowy,5.6,77,6.7,HIIT
Energetic,Rainy,11.3,75,2.2,Indoor Cardio
Stressed,Sunny,12.3,36,10.6,Meditation
Relaxed,Cloudy,7.7,79,4.9,Dance
